country,step,prompt,flux_output_file,qwen_output_file
korea,1,Change the background to depict the capital of Korea.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/korea/flux_korea_edit_background_1.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/korea/qwen_korea_edit_background_1.png
korea,2,Add a sign in the top-right corner that displays the name of Korea's capital in Korea's official language.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/korea/flux_korea_edit_text_2.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/korea/qwen_korea_edit_text_2.png
korea,3,Hold a representative Korean food in hand.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/korea/flux_korea_edit_food_3.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/korea/qwen_korea_edit_food_3.png
korea,4,Put on modern Korean clothing.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/korea/flux_korea_edit_clothing_4.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/korea/qwen_korea_edit_clothing_4.png
korea,5,Add traditional Korean accessories.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/korea/flux_korea_edit_accessory_5.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/korea/qwen_korea_edit_accessory_5.png
china,1,Change the background to depict the capital of China.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/china/flux_china_edit_background_1.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/china/qwen_china_edit_background_1.png
china,2,Add a sign in the top-right corner that displays the name of China's capital in China's official language.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/china/flux_china_edit_text_2.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/china/qwen_china_edit_text_2.png
china,3,Hold a representative Chinese food in hand.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/china/flux_china_edit_food_3.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/china/qwen_china_edit_food_3.png
china,4,Put on modern Chinese clothing.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/china/flux_china_edit_clothing_4.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/china/qwen_china_edit_clothing_4.png
china,5,Add traditional Chinese accessories.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/china/flux_china_edit_accessory_5.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/china/qwen_china_edit_accessory_5.png
india,1,Change the background to depict the capital of India.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/india/flux_india_edit_background_1.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/india/qwen_india_edit_background_1.png
india,2,Add a sign in the top-right corner that displays the name of India's capital in India's official language.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/india/flux_india_edit_text_2.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/india/qwen_india_edit_text_2.png
india,3,Hold a representative Indian food in hand.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/india/flux_india_edit_food_3.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/india/qwen_india_edit_food_3.png
india,4,Put on modern Indian clothing.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/india/flux_india_edit_clothing_4.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/india/qwen_india_edit_clothing_4.png
india,5,Add traditional Indian accessories.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/india/flux_india_edit_accessory_5.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/india/qwen_india_edit_accessory_5.png
kenya,1,Change the background to depict the capital of Kenya.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/kenya/flux_kenya_edit_background_1.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/kenya/qwen_kenya_edit_background_1.png
kenya,2,Add a sign in the top-right corner that displays the name of Kenya's capital in Kenya's official language.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/kenya/flux_kenya_edit_text_2.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/kenya/qwen_kenya_edit_text_2.png
kenya,3,Hold a representative Kenyan food in hand.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/kenya/flux_kenya_edit_food_3.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/kenya/qwen_kenya_edit_food_3.png
kenya,4,Put on modern Kenyan clothing.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/kenya/flux_kenya_edit_clothing_4.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/kenya/qwen_kenya_edit_clothing_4.png
kenya,5,Add traditional Kenyan accessories.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/kenya/flux_kenya_edit_accessory_5.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/kenya/qwen_kenya_edit_accessory_5.png
nigeria,1,Change the background to depict the capital of Nigeria.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/nigeria/flux_nigeria_edit_background_1.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/nigeria/qwen_nigeria_edit_background_1.png
nigeria,2,Add a sign in the top-right corner that displays the name of Nigeria's capital in Nigeria's official language.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/nigeria/flux_nigeria_edit_text_2.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/nigeria/qwen_nigeria_edit_text_2.png
nigeria,3,Hold a representative Nigerian food in hand.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/nigeria/flux_nigeria_edit_food_3.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/nigeria/qwen_nigeria_edit_food_3.png
nigeria,4,Put on modern Nigerian clothing.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/nigeria/flux_nigeria_edit_clothing_4.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/nigeria/qwen_nigeria_edit_clothing_4.png
nigeria,5,Add traditional Nigerian accessories.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/nigeria/flux_nigeria_edit_accessory_5.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/nigeria/qwen_nigeria_edit_accessory_5.png
united_states,1,Change the background to depict the capital of the United States.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/united_states/flux_united_states_edit_background_1.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/united_states/qwen_united_states_edit_background_1.png
united_states,2,Add a sign in the top-right corner that displays the name of the United States's capital in the United States's official language.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/united_states/flux_united_states_edit_text_2.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/united_states/qwen_united_states_edit_text_2.png
united_states,3,Hold a representative American food in hand.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/united_states/flux_united_states_edit_food_3.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/united_states/qwen_united_states_edit_food_3.png
united_states,4,Put on modern American clothing.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/united_states/flux_united_states_edit_clothing_4.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/united_states/qwen_united_states_edit_clothing_4.png
united_states,5,Add traditional American accessories.,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/flux/united_states/flux_united_states_edit_accessory_5.png,https://ecb-pub.s3.us-east-2.amazonaws.com/add_attribution/qwen/united_states/qwen_united_states_edit_accessory_5.png